roi,mean,sd
DCL,-0.0614761829268293,0.142292089902958
DCL,-0.0602331554634146,0.146835252929286
DCL,-0.0398641756097561,0.13608482001316
DCL,0.310242356097561,0.172016537585277
DCL,0.112807448780488,0.149137354464149
DCL,-1.42748024390244e-4,0.145677495326137
DCL,0.00329074609756097,0.132418135779077
DCL,0.361152517073171,0.163138577008412
DCPL,0.0172052241463415,0.146034452750907
DCPL,0.282082570731707,0.167922497054488
DCPL,0.278436882926829,0.157719414042336
DCPL,0.228891766829268,0.195922455360672
DCPL,0.17584265804878,0.21006470477134
DCPR,-0.0559281877560976,0.177071670710192
DCPR,0.00784591780487805,0.147041012501835
DCPR,0.280236334146341,0.189512902818954
DCPR,0.195770690243902,0.155789302992301
DCPR,0.2602116,0.196054014164148
DCPR,0.136654621707317,0.175588004246596
DCPR,0.0403312941463415,0.127343539859725
DCR,-0.153551019512195,0.161300669645799
DCR,-0.0706628810487805,0.185651659848661
DCR,0.0785421746341463,0.124033020667859
DCR,0.0967823829268293,0.155595671809602
DCR,0.0972231829268293,0.178150293389715
DCR,0.0927577634146342,0.183326568892902
DCR,0.0825092513414634,0.171848284570677
DRPL,-0.017741466097561,0.170940782046074
DRPL,0.0559064143902439,0.163138769491235
DRPL,0.271624182926829,0.178737068030788
DRPL,0.199020023658537,0.207595323069413
DRPL,-0.00260933756097561,0.20960865180764
DRPL,-0.0253209324390244,0.166795515635643
DRPR,0.260961024390244,0.175976352384462
DRPR,0.278965468292683,0.155676553404996
DRPR,0.049080467804878,0.0951952192140181
DRPR,0.136362471756098,0.191153634412991
VRPL,0.0110277391170732,0.176972157782995
VRPL,0.0722961334146341,0.172715806967255
VRPL,0.129610009756098,0.143978310119226
VRPL,0.208217802439024,0.172245584908805
VRPL,0.0771971517073171,0.166301985480447
VRPL,0.071045714,0.177719977977344
VRPR,0.107691946829268,0.129925407242633
VRPR,-0.0378250784390244,0.166456191066208
VRPR,0.233611465853659,0.159089126297938
VRPR,0.130279050512195,0.218692588625747
VRPR,0.0624824248780488,0.182068801475748
VRPR,-0.0337693682926829,0.162296064990782
VRPR,0.0227143343902439,0.134732151864034
VRPR,0.144699819512195,0.20947840524796
VRPR,0.264141895609756,0.158545966971461
VRPR,0.0292763604878049,0.159013306578686
VRPR,0.0112942943902439,0.131293365838581
VRPR,0.147594456585366,0.168702716191747
VSIL,-0.0734103619512195,0.141284562846901
VSIL,-0.111890736341463,0.177213114666607
VSIL,0.016221556097561,0.166994860555134
VSIL,-0.0665551704878049,0.146387158964096
VSIL,-0.0214164341463415,0.169433700849469
VSIL,-0.0232576980487805,0.169562180030669
VSIL,0.0281413448780488,0.177319817409692
VSIL,0.0357885585365854,0.185718202793144
VSIL,0.0381825753658537,0.167432061579746
VSIL,-0.0277408424390244,0.185008379096203
VSIL,0.119063980487805,0.155894385060468
VSIR,-0.106735589073171,0.159440856810935
VSIR,0.129369929512195,0.154072389593347
VSIR,-0.0119085834146341,0.145782671067989
VSIR,-0.12010757804878,0.16277849365206
VSIR,-0.0544047682926829,0.142891011537499
VSIR,0.0390636317073171,0.164731302254782
VSSL,-0.1189694,0.201352095892875
VSSL,-0.0979338902439024,0.159621039153297
VSSL,-0.0422594819512195,0.168364311195646
VSSL,-0.0537610012195122,0.14935866848093
VSSL,-0.070747356097561,0.13931800702018
VSSL,0.393000885365854,0.202765862055176
VSSL,0.48511912195122,0.160759418349003
VSSL,0.00387807926829268,0.130011685776373
VSSR,-0.0847207568292683,0.147343140064049
VSSR,-0.116597297804878,0.142063451568593
VSSR,-0.0344740551219512,0.136379680838495
VSSR,-0.0523133853658537,0.141351262842917
VSSR,-0.078735743902439,0.185620335350283
VSSR,-0.104841676097561,0.162569947797075
VSSR,0.0796644243902439,0.161833332904792
VSSR,-0.0200019580487805,0.145988008770528
VSSR,-0.0700264512195122,0.176113098381156
VSSR,-0.136357043170732,0.207899420653602
VSSR,-0.00625004414634146,0.1766178385368
